Country	Year	Temperature
Algeria	1995	18.00581573308845
Algeria	1996	17.516788766788764
Algeria	1997	18.292389649923894
Algeria	1998	17.566481994459828
Algeria	1999	18.29090354090354
Algeria	2000	17.879326047358823
Algeria	2001	18.14992389649923
Algeria	2002	17.853031702062175
Algeria	2003	18.6074481074481
Algeria	2004	17.82635094110503
Algeria	2005	17.174124809741265
Algeria	2006	18.294672754946735
Algeria	2007	17.562423687423717
Algeria	2008	17.765296803652966
Algeria	2009	18.17124542124542
Algeria	2010	17.92678843226788
Algeria	2011	18.311567732115684
Algeria	2012	17.939131754705524
Algeria	2013	17.613698630137
Algeria	2014	18.692765567765576
Algeria	2015	18.302045177045184
Algeria	2016	18.506599140577038
Algeria	2017	18.331050228310502
Algeria	2018	18.01080246913581
Algeria	2019	18.329309811203963
Algeria	2020	14.463515754560534
Burundi	1995	26.292245370370356
Burundi	1996	26.22571428571427
Burundi	1997	25.79661835748792
Burundi	1998	28.0
Burundi	1999	25.222222222222225
Burundi	2003	27.38888888888889
Burundi	2004	24.78518518518519
Burundi	2005	23.361655773420487
Burundi	2006	15.551551551551551
Burundi	2007	12.515366430260043
Benin	1995	27.599297573435507
Benin	1996	27.46409780253794
Benin	1997	27.17008069522036
Benin	1998	27.943030303030312
Benin	1999	27.37306109528332
Benin	2000	27.7231240981241
Benin	2001	27.524487297214588
Benin	2002	27.437171154441348
Benin	2003	27.6915163026274
Benin	2004	27.379781420765024
Benin	2005	27.539573820395745
Benin	2006	27.826101249178162
Benin	2007	27.348484848484855
Benin	2008	27.332541943653073
Benin	2009	27.517246642246633
Benin	2010	28.087975646879748
Benin	2011	27.485805860805854
Benin	2012	27.340922890103233
Benin	2013	27.557692307692314
Benin	2014	27.56986765158511
Benin	2015	27.533882783882774
Benin	2016	27.87676488643341
Benin	2017	27.863013698630137
Benin	2018	27.8927684667908
Benin	2019	28.006654286598565
Benin	2020	28.78399668325042
Central African Republic	1995	25.75630417651692
Central African Republic	1996	25.43092522179974
Central African Republic	1997	26.018214936247723
Central African Republic	1998	26.228660779985276
Central African Republic	1999	25.865128205128215
Central African Republic	2000	25.742935131663458
Central African Republic	2001	25.540235221293695
Central African Republic	2002	25.628794992175266
Central African Republic	2003	25.714488636363626
Central African Republic	2004	25.73215394165115
Central African Republic	2005	25.85657433938237
Central African Republic	2006	25.84482215926972
Central African Republic	2007	26.17799811142585
Central African Republic	2008	25.931129476584022
Central African Republic	2009	26.215337816202382
Central African Republic	2010	26.6119257086999
Central African Republic	2011	26.243987823439866
Central African Republic	2012	26.166970248937467
Central African Republic	2013	25.98061660561662
Central African Republic	2014	25.98122284295468
Central African Republic	2015	26.155681104833644
Central African Republic	2016	26.271485573971745
Central African Republic	2017	26.312024353120254
Central African Republic	2018	25.823919753086425
Central African Republic	2019	26.37663645518628
Central African Republic	2020	27.45190713101161
Congo	1995	25.714537303874483
Congo	1996	25.066031746031758
Congo	1997	25.847058823529412
Congo	1998	26.261606677099632
Congo	1999	25.747198206852374
Congo	2000	24.951104613385315
Congo	2001	25.255309325946453
Congo	2002	25.750624219725356
Congo	2003	25.77488584474885
Congo	2004	25.740079365079374
Congo	2005	25.76529680365295
Congo	2006	25.53424657534249
Congo	2007	25.432692307692303
Congo	2008	25.319939117199386
Congo	2009	25.50717338217339
Congo	2010	26.027624309392266
Congo	2011	25.488432267884313
Congo	2012	25.387826350941125
Congo	2013	25.503805175038032
Congo	2014	25.85718682671592
Congo	2015	25.64835164835164
Congo	2016	25.946132596685068
Congo	2017	25.721765601217648
Congo	2018	25.847645429362867
Congo	2019	25.88672839506173
Congo	2020	27.281119465330004
Egypt	1995	21.539726027397247
Egypt	1996	21.84699453551913
Egypt	1997	21.536986301369875
Egypt	1998	22.577746741154563
Egypt	1999	22.380494505494497
Egypt	2000	21.798325722983265
Egypt	2001	22.6318112633181
Egypt	2002	22.50584795321637
Egypt	2003	22.416361416361408
Egypt	2004	22.372343655130543
Egypt	2005	22.243226788432278
Egypt	2006	22.282039573820388
Egypt	2007	22.66636141636143
Egypt	2008	22.99602081420264
Egypt	2009	23.40094627594627
Egypt	2010	24.17305936073061
Egypt	2011	22.14459665144596
Egypt	2012	22.60018214936249
Egypt	2013	22.547336377473364
Egypt	2014	22.865384615384624
Egypt	2015	22.621184371184377
Egypt	2016	23.823302469135808
Egypt	2017	23.346727549467268
Egypt	2018	24.28626543209876
Egypt	2019	23.241101826060053
Egypt	2020	17.577114427860703
Ethiopia	1995	16.829166666666683
Ethiopia	1996	16.47717972930438
Ethiopia	1997	17.153036576949614
Ethiopia	1998	16.893308080808076
Ethiopia	1999	17.018518518518512
Ethiopia	2000	16.964966832504143
Ethiopia	2001	17.72889957264957
Ethiopia	2002	18.975198412698408
Ethiopia	2003	17.86111111111111
Ethiopia	2004	17.46888888888889
Ethiopia	2005	17.876583423814694
Ethiopia	2006	17.71512570965125
Ethiopia	2007	16.985125448028672
Ethiopia	2008	17.30213089802132
Ethiopia	2009	17.07521367521368
Ethiopia	2010	16.354717813051145
Ethiopia	2011	17.106389675794766
Ethiopia	2012	16.937734082397007
Ethiopia	2013	17.21311728395062
Ethiopia	2014	17.574127906976738
Ethiopia	2015	17.830845771144276
Ethiopia	2016	17.279166666666676
Ethiopia	2017	16.91820987654319
Ethiopia	2018	16.733978005309055
Ethiopia	2019	17.28834454050593
Ethiopia	2020	18.432330827067673
Gabon	1995	26.427948426241937
Gabon	1996	25.92113289760348
Gabon	1997	26.95996732026144
Gabon	1998	26.964240102171118
Gabon	1999	26.554560530679915
Gabon	2000	26.253015873015872
Gabon	2001	26.274410774410775
Gabon	2002	26.517901234567898
Gabon	2003	26.59150326797385
Gabon	2004	26.575241908575233
Gabon	2005	26.460295475530955
Gabon	2006	26.482343987823427
Gabon	2007	26.80165289256199
Gabon	2008	26.624769797421735
Gabon	2009	26.62454212454211
Gabon	2010	26.743074581430744
Gabon	2011	26.302891933028945
Gabon	2012	25.740285367334536
Gabon	2013	26.458295281582952
Gabon	2014	26.545040803515377
Gabon	2015	26.65262515262513
Gabon	2016	27.20948434622468
Gabon	2017	26.870167427701695
Gabon	2018	26.792859341335795
Gabon	2019	26.965645311049197
Gabon	2020	28.218076285240464
Gambia	1995	25.52151573538857
Gambia	1996	25.54526029526029
Gambia	1997	26.5311111111111
Gambia	1998	26.560855263157897
Gambia	1999	25.842308882698866
Gambia	2000	26.052298850574708
Gambia	2001	26.569618055555576
Gambia	2002	26.13991769547327
Gambia	2003	26.481368563685653
Gambia	2004	26.35146373918829
Gambia	2005	26.731555555555545
Gambia	2006	26.091161616161603
Gambia	2007	26.42019263845889
Gambia	2010	26.618017188459163
Gambia	2011	25.967732115677354
Gambia	2012	26.110048573163322
Gambia	2013	26.05966514459668
Gambia	2014	25.997857361493747
Gambia	2015	25.76923076923078
Gambia	2016	26.027163904235735
Gambia	2017	26.282312925170086
Gambia	2018	25.4664481897628
Gambia	2019	25.98168839230293
Gambia	2020	26.34286898839138
Guinea	1995	27.571362157136218
Guinea	1996	27.13684038020322
Guinea	1997	28.08015873015875
Guinea	1998	28.681818181818187
Guinea	1999	27.5553053053053
Guinea	2000	27.189265536723173
Guinea	2001	27.441186556927278
Guinea	2002	27.63408779149519
Guinea	2003	27.502865329512872
Guinea	2004	27.737704918032787
Guinea	2005	27.803227808814384
Guinea	2006	27.707228535353526
Guinea	2007	27.609614665170216
Guinea	2008	27.910973084886137
Guinea	2009	27.553376906318096
Guinea	2010	28.230286738351243
Guinea	2011	28.099246704331442
Guinea	2012	27.24404761904763
Guinea	2013	27.164660493827174
Guinea	2014	27.055555555555536
Guinea	2015	27.06210137630075
Guinea	2016	27.25471085120207
Guinea	2017	27.463546641197066
Guinea	2018	27.234441186054088
Guinea	2019	27.59259259259258
Guinea	2020	28.825336700336692
Guinea-Bissau	1995	28.701269841269855
Guinea-Bissau	1996	28.42196531791908
Guinea-Bissau	1997	28.560945273631827
Guinea-Bissau	1998	29.055555555555554
Guinea-Bissau	2006	28.09790528233153
Guinea-Bissau	2007	28.881337648327946
Guinea-Bissau	2008	28.806280193236706
Guinea-Bissau	2009	28.10810383032603
Guinea-Bissau	2010	28.18153364632236
Guinea-Bissau	2011	27.679629629629623
Guinea-Bissau	2012	27.50985915492958
Guinea-Bissau	2013	27.755747126436788
Guinea-Bissau	2014	27.6663482967208
Guinea-Bissau	2015	27.536127167630077
Guinea-Bissau	2016	27.72868574946137
Guinea-Bissau	2017	27.724353120243542
Guinea-Bissau	2018	27.242901234567917
Guinea-Bissau	2019	27.7735642946317
Guinea-Bissau	2020	29.008481764206962
Ivory Coast	1995	26.98748473748475
Ivory Coast	1996	26.952096724824003
Ivory Coast	1997	26.824798261949095
Ivory Coast	1998	27.285318559556814
Ivory Coast	1999	26.98500340831629
Ivory Coast	2000	26.604902897166507
Ivory Coast	2001	26.64058641975307
Ivory Coast	2002	26.90367842244977
Ivory Coast	2003	26.825027685492802
